NO.1,NO.2,diff-correlation
1,6,7.35363,
1,14,82.9354,
1,67,5.5002,
1,84,5.55301,
1,86,6.16146,
1,101,15.2168,
1,105,6.48968,
1,145,7.37437,
1,160,8.20678,
1,183,6.05404,
1,194,15.9107,
1,198,8.09284,
1,253,330.466,
1,255,10.2953,
1,259,15.4533,
1,284,17.1197,
1,307,26.1031,
1,388,6.25711,
2,11,71.8094,
2,35,5.30643,
2,40,5.23516,
2,46,7.83659,
2,64,18.7056,
2,79,7.00281,
2,82,308.481,
2,92,18.2468,
2,115,9.06609,
2,119,9.22095,
2,128,39.9211,
2,132,734.302,
2,153,5.34242,
2,164,5.98225,
2,216,345.556,
2,221,9.98973,
2,230,58.2014,
2,231,144.862,
2,232,42.3074,
2,233,5.4678,
2,235,7.52349,
2,239,6.60876,
2,251,5.49254,
2,252,19.7731,
2,255,6.49913,
2,265,21.9587,
2,270,8.76635,
2,272,5.65432,
2,285,6.84768,
2,293,8.50802,
2,294,8.35062,
2,298,64995.3,
2,304,9.7685,
2,309,18.0533,
2,312,11.6641,
2,316,21.1948,
2,323,5.13657,
2,334,110.874,
2,336,52.5752,
2,338,7.14677,
2,340,10.8156,
2,341,8.15035,
2,345,13.8192,
2,355,527.513,
2,356,8.87983,
2,372,9.79667,
2,377,11.6766,
2,386,100.823,
2,389,5.42775,
3,11,8.13262,
3,34,5.24418,
3,51,10.1977,
3,119,11.2958,
3,125,26.978,
3,138,14.4467,
3,151,161.443,
3,188,19.0495,
3,224,5.32523,
3,270,5.13644,
3,277,8.88626,
3,284,6.71539,
3,320,6.07791,
3,354,5.93418,
3,360,20.5752,
3,365,14.2676,
3,386,7.50875,
4,10,44.7018,
4,37,6.95859,
4,46,6.5786,
4,55,44.4101,
4,84,10.0338,
4,98,22.3754,
4,103,8.63555,
4,115,9.63745,
4,125,7.3969,
4,126,305.912,
4,146,712.345,
4,149,17.9134,
4,171,6.0628,
4,201,5.83986,
4,203,40.1192,
4,205,34.8596,
4,208,9.12027,
4,211,72.9259,
4,216,449.945,
4,217,10.1877,
4,219,70.898,
4,225,31.9238,
4,228,5.88389,
4,232,15.343,
4,234,12.031,
4,252,5.53015,
4,254,15.2189,
4,272,8.72246,
4,274,7.32413,
4,275,115.25,
4,278,8.48998,
4,287,6.2306,
4,294,10.8565,
4,320,5.91981,
4,330,13.3359,
4,331,7.03272,
4,333,5.55858,
4,334,9.60354,
4,342,53.1522,
4,354,16.9212,
4,362,9.56146,
4,372,108.824,
4,382,22.5836,
4,383,8.62106,
4,389,11.7842,
5,55,56.9545,
5,69,37.1886,
5,84,14.7766,
5,145,12.9216,
5,151,11.6164,
5,159,5.24304,
5,170,30.3914,
5,179,29.347,
5,192,7.6751,
5,201,6.83711,
5,216,10.41,
5,231,15.0112,
5,232,64.6816,
5,252,26.2807,
5,254,8.63303,
5,277,9.292,
5,284,10.3605,
5,294,11.8897,
5,298,23.8277,
5,315,7.70116,
5,318,10.289,
5,343,20.5089,
5,362,5.59612,
5,383,27.384,
5,387,8.86767,
6,18,7.57965,
6,36,11.5163,
6,113,47.8246,
6,143,5.23238,
6,187,19.8818,
6,192,12.6456,
6,208,19.9509,
6,307,12.3578,
6,318,6.05249,
6,343,13.2784,
6,387,8.0667,
7,10,15.3308,
7,33,5.88934,
7,76,10.3063,
7,108,5.34871,
7,114,8.25258,
7,115,14.1492,
7,129,11.2309,
7,132,17.9712,
7,135,7.66647,
7,164,6.97118,
7,171,33.664,
7,229,32.2161,
7,239,12.9973,
7,251,7.07377,
7,285,6.53949,
7,289,7.90635,
7,305,9.34426,
7,321,10.5608,
7,324,243.428,
7,338,16.9492,
8,15,7.99739,
8,24,13.5319,
8,84,13.0778,
8,86,30.9596,
8,102,37.3781,
8,159,7.83506,
8,183,6.66531,
8,253,20.6159,
8,261,6.95093,
8,307,48.4257,
8,318,12.0386,
9,55,15.0195,
9,57,11.1427,
9,60,295.45,
9,69,6.37023,
9,73,7.99545,
9,84,40.1144,
9,86,5.02894,
9,99,18.3927,
9,105,5.98231,
9,125,6.70635,
9,147,8.16421,
9,148,9.17419,
9,150,7.3299,
9,159,33.5187,
9,177,5.56058,
9,188,5.98921,
9,233,5.32297,
9,253,102.46,
9,255,13.0696,
9,261,32.2015,
9,266,5.15687,
9,336,5.00985,
9,348,27.1088,
9,362,5.05373,
9,375,9.90705,
9,384,5.45558,
9,388,17.3322,
10,22,13.9206,
10,54,21.8984,
10,61,13.6681,
10,62,42.9582,
10,76,5.08244,
10,84,5.22384,
10,89,8.69496,
10,94,10.3786,
10,106,19.109,
10,110,75.3188,
10,114,6.11085,
10,127,6.67783,
10,140,6.83728,
10,150,36.8472,
10,152,8.01897,
10,162,5.30353,
10,176,8.50412,
10,182,10.8433,
10,190,11.8169,
10,194,17.2734,
10,200,5.60369,
10,267,24.9395,
10,270,25.4601,
10,277,12.9676,
10,279,10.2832,
10,294,17.4338,
10,305,10.7709,
10,328,73.3936,
10,331,9.75273,
10,342,6.76232,
10,361,8.7954,
10,386,42.8798,
11,31,28.7908,
11,36,16.881,
11,69,10.7843,
11,78,5.7285,
11,116,12.9873,
11,120,6.23978,
11,130,5.24026,
11,188,5.81873,
11,192,6.0882,
11,229,6.40209,
11,253,15.3505,
11,259,7.60261,
11,264,28.6496,
11,277,5.83746,
11,315,19.9237,
11,388,13.5333,
12,38,6.88857,
12,39,5.29416,
12,40,5.41255,
12,47,6.62608,
12,65,48.2791,
12,82,7.73551,
12,94,5.88323,
12,109,215.079,
12,188,34.9622,
12,208,9.16454,
12,221,12.7346,
12,226,6.74473,
12,234,16.3627,
12,242,6.71699,
12,268,6.84169,
12,269,13.7292,
12,283,7.36104,
12,296,37.0621,
12,326,28.2403,
12,327,8.60007,
12,338,6.20492,
12,339,7.63398,
12,372,16.3393,
12,381,6.18118,
12,382,11.9094,
13,76,152.316,
13,141,11.8096,
13,240,7.83112,
13,260,12.9453,
14,54,8.3893,
14,84,8.28004,
14,113,9.24349,
14,116,7.64895,
14,145,5.26443,
14,154,7.62435,
14,159,14.7223,
14,161,7.89282,
14,183,120.699,
14,197,20.0358,
14,315,5.32314,
14,318,11.1213,
14,387,17.9556,
15,26,8.42884,
15,36,17.2479,
15,41,12.6091,
